Cod_setor,Situacao_setor,V062,V063,V064,V065,V066,V067,V068,V069,V070,V071,V072,V073,V074,V075,V076,V077,V078,V079,V080,V081,V082,V083,V084,V085,V086,V087,V088,V089,V090,V091,V092,V093,V094,V095,V096,V097,V098,V099,homens,mulheres
250080905000038,5,1,2,0,1,2,1,0,0,1,0,0,0,0,1,1,0,1,0,0,3,3,0,1,0,2,0,2,3,0,0,0,0,1,0,0,0,0,0,11,15
250090805000001,1,28,23,24,14,5,7,17,2,0,0,0,0,0,26,8,10,2,1,0,33,22,19,10,4,1,45,18,8,3,1,0,0,15,4,1,0,0,0,167,184
250090805000002,1,28,34,21,19,2,3,7,0,0,0,0,0,0,28,18,4,2,0,0,26,15,11,8,4,1,25,19,5,2,0,0,0,7,4,1,0,0,0,166,128
250090805000003,1,31,49,31,17,11,4,21,2,0,0,0,0,0,29,21,7,2,0,0,50,36,17,7,5,4,30,32,9,3,0,1,0,18,8,0,1,0,0,225,221
250090805000004,1,28,38,30,21,1,4,20,3,1,0,0,0,0,25,19,7,1,0,0,40,40,33,10,8,2,25,24,14,6,0,0,0,16,3,1,0,1,0,198,223
250090805000005,1,21,18,16,7,2,1,5,0,0,0,0,0,0,21,11,4,0,0,0,23,20,8,3,1,3,18,12,5,1,0,0,0,11,4,1,0,0,0,106,110
250090805000006,1,21,36,19,6,3,2,7,1,0,0,0,0,0,20,17,7,1,1,1,27,17,12,7,5,0,5,18,4,1,1,0,0,9,1,2,0,0,0,142,109
250090805000007,1,39,45,33,22,7,3,15,0,0,0,0,0,0,39,17,11,2,1,0,21,23,20,12,6,0,15,14,7,3,1,0,0,7,3,4,0,0,0,234,136
250090805000008,1,18,25,11,7,1,2,6,1,0,0,0,0,0,17,14,4,1,0,0,27,12,8,2,2,3,18,20,5,2,0,0,0,7,0,3,0,0,0,107,109
250090805000009,1,29,33,15,13,8,7,18,2,0,0,0,0,0,27,17,4,1,1,0,18,23,17,9,9,6,18,14,7,4,1,2,0,4,2,1,0,0,0,175,135
250090805000010,8,15,31,25,18,7,5,11,1,2,0,0,0,0,14,16,5,0,0,0,6,6,1,6,0,1,3,5,2,0,2,0,0,1,1,0,0,0,0,150,34
250090805000011,8,26,29,27,17,8,8,16,6,0,0,0,0,0,20,13,5,1,1,0,13,9,18,7,4,4,2,9,6,4,1,0,0,4,2,1,0,0,0,177,84
250090805000012,8,20,18,23,15,6,11,12,0,0,0,0,0,0,20,6,2,4,0,0,6,4,4,1,0,4,4,4,3,1,0,0,0,2,0,0,0,0,0,137,33
250090805000013,8,11,16,20,8,6,4,16,0,1,0,0,0,0,11,2,5,1,0,0,7,6,8,2,0,2,1,5,3,3,0,0,0,2,0,0,0,0,0,101,39
250090805000014,8,18,24,29,11,8,2,15,2,0,0,0,0,0,16,10,6,2,0,0,9,2,2,8,0,1,6,4,1,0,0,0,0,5,0,0,0,0,0,143,38
