DS_GASTO_NIVEL1,SG_PARTIDO,NM_PARTIDO,gasto,reais
TRANSFERÊNCIAS FINANCEIRAS EFETUADAS,PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL,8807755.4,"R$ 8.807.755,40"
TRANSFERÊNCIAS FINANCEIRAS EFETUADAS,PRP,PARTIDO REPUBLICANO PROGRESSISTA,368173.62,"R$ 368.173,62"
TRANSFERÊNCIAS FINANCEIRAS EFETUADAS,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,277000,"R$ 277.000,00"
TRANSFERÊNCIAS FINANCEIRAS EFETUADAS,PSB,PARTIDO SOCIALISTA BRASILEIRO,29124532.54,"R$ 29.124.532,54"
TRANSFERÊNCIAS FINANCEIRAS EFETUADAS,PSC,PARTIDO SOCIAL CRISTÃO,6899704.78,"R$ 6.899.704,78"
TRANSFERÊNCIAS FINANCEIRAS EFETUADAS,PSD,PARTIDO SOCIAL DEMOCRÁTICO,32408450,"R$ 32.408.450,00"
TRANSFERÊNCIAS FINANCEIRAS EFETUADAS,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,44916843.46,"R$ 44.916.843,46"
TRANSFERÊNCIAS FINANCEIRAS EFETUADAS,PSL,PARTIDO SOCIAL LIBERAL,882024.27,"R$ 882.024,27"
TRANSFERÊNCIAS FINANCEIRAS EFETUADAS,PSOL,PARTIDO SOCIALISMO E LIBERDADE,5850876.82,"R$ 5.850.876,82"
TRANSFERÊNCIAS FINANCEIRAS EFETUADAS,PSTU,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,7400,"R$ 7.400,00"
TRANSFERÊNCIAS FINANCEIRAS EFETUADAS,PT,PARTIDO DOS TRABALHADORES,48899363.95,"R$ 48.899.363,95"
TRANSFERÊNCIAS FINANCEIRAS EFETUADAS,PTB,PARTIDO TRABALHISTA BRASILEIRO,13923580,"R$ 13.923.580,00"
TRANSFERÊNCIAS FINANCEIRAS EFETUADAS,PTC,PARTIDO TRABALHISTA CRISTÃO,873156.56,"R$ 873.156,56"
TRANSFERÊNCIAS FINANCEIRAS EFETUADAS,PV,PARTIDO VERDE,4640494.9,"R$ 4.640.494,90"
TRANSFERÊNCIAS FINANCEIRAS EFETUADAS,REDE,REDE SUSTENTABILIDADE,1379116.58,"R$ 1.379.116,58"
TRANSFERÊNCIAS FINANCEIRAS EFETUADAS,REPUBLICANOS,REPUBLICANOS,63437792.35,"R$ 63.437.792,35"
TRANSFERÊNCIAS FINANCEIRAS EFETUADAS,SDD,SOLIDARIEDADE,13507233.77,"R$ 13.507.233,77"
TRANSPORTES E VIAGENS,AVANTE,AVANTE,384260.68,"R$ 384.260,68"
TRANSPORTES E VIAGENS,DC,DEMOCRACIA CRISTÃ,285944.27,"R$ 285.944,27"
TRANSPORTES E VIAGENS,DEM,DEMOCRATAS,1746002.41,"R$ 1.746.002,41"
TRANSPORTES E VIAGENS,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,1961363.61,"R$ 1.961.363,61"
TRANSPORTES E VIAGENS,NOVO,PARTIDO NOVO,900237.67,"R$ 900.237,67"
TRANSPORTES E VIAGENS,PATRI,PATRIOTA,450426.91,"R$ 450.426,91"
TRANSPORTES E VIAGENS,PCB,PARTIDO COMUNISTA BRASILEIRO,12519.93,"R$ 12.519,93"
TRANSPORTES E VIAGENS,PCDOB,PARTIDO COMUNISTA DO BRASIL,2198694.57,"R$ 2.198.694,57"
TRANSPORTES E VIAGENS,PDT,PARTIDO DEMOCRÁTICO TRABALHISTA,2770353.14,"R$ 2.770.353,14"
TRANSPORTES E VIAGENS,PHS,PARTIDO HUMANISTA DA SOLIDARIEDADE,612128.34,"R$ 612.128,34"
TRANSPORTES E VIAGENS,PL,PARTIDO LIBERAL,1228209.61,"R$ 1.228.209,61"
TRANSPORTES E VIAGENS,PMB,PARTIDO DA MULHER BRASILEIRA,53987.41,"R$ 53.987,41"
TRANSPORTES E VIAGENS,PMN,PARTIDO DA MOBILIZAÇÃO NACIONAL,540500.39,"R$ 540.500,39"
TRANSPORTES E VIAGENS,PODE,PODEMOS,961154.38,"R$ 961.154,38"
TRANSPORTES E VIAGENS,PP,PROGRESSISTAS,1510159.15,"R$ 1.510.159,15"
TRANSPORTES E VIAGENS,PPL,PARTIDO PÁTRIA LIVRE,108815.04,"R$ 108.815,04"
TRANSPORTES E VIAGENS,PPS,PARTIDO POPULAR SOCIALISTA,1108803.25,"R$ 1.108.803,25"
TRANSPORTES E VIAGENS,PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL,1131494.95,"R$ 1.131.494,95"
TRANSPORTES E VIAGENS,PRP,PARTIDO REPUBLICANO PROGRESSISTA,603998.14,"R$ 603.998,14"
TRANSPORTES E VIAGENS,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,461281.49,"R$ 461.281,49"
TRANSPORTES E VIAGENS,PSB,PARTIDO SOCIALISTA BRASILEIRO,3034991.05,"R$ 3.034.991,05"
TRANSPORTES E VIAGENS,PSC,PARTIDO SOCIAL CRISTÃO,1419144.07,"R$ 1.419.144,07"
TRANSPORTES E VIAGENS,PSD,PARTIDO SOCIAL DEMOCRÁTICO,1010400.02,"R$ 1.010.400,02"
TRANSPORTES E VIAGENS,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,5352670.01,"R$ 5.352.670,01"
TRANSPORTES E VIAGENS,PSL,PARTIDO SOCIAL LIBERAL,1022910.49,"R$ 1.022.910,49"
TRANSPORTES E VIAGENS,PSOL,PARTIDO SOCIALISMO E LIBERDADE,3053522.8,"R$ 3.053.522,80"
TRANSPORTES E VIAGENS,PSTU,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,197397.74,"R$ 197.397,74"
TRANSPORTES E VIAGENS,PT,PARTIDO DOS TRABALHADORES,14319723.74,"R$ 14.319.723,74"
TRANSPORTES E VIAGENS,PTB,PARTIDO TRABALHISTA BRASILEIRO,2036661.41,"R$ 2.036.661,41"
TRANSPORTES E VIAGENS,PTC,PARTIDO TRABALHISTA CRISTÃO,375014.29,"R$ 375.014,29"
TRANSPORTES E VIAGENS,PV,PARTIDO VERDE,434346.63,"R$ 434.346,63"
TRANSPORTES E VIAGENS,REDE,REDE SUSTENTABILIDADE,1249690.25,"R$ 1.249.690,25"
TRANSPORTES E VIAGENS,REPUBLICANOS,REPUBLICANOS,1409678.75,"R$ 1.409.678,75"
TRANSPORTES E VIAGENS,SDD,SOLIDARIEDADE,1242546.41,"R$ 1.242.546,41"
TRIBUTOS,AVANTE,AVANTE,21009.24,"R$ 21.009,24"
TRIBUTOS,DC,DEMOCRACIA CRISTÃ,106706.69,"R$ 106.706,69"
TRIBUTOS,DEM,DEMOCRATAS,145938.61,"R$ 145.938,61"
TRIBUTOS,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,631827.44,"R$ 631.827,44"
TRIBUTOS,NOVO,PARTIDO NOVO,114511.19,"R$ 114.511,19"
TRIBUTOS,PATRI,PATRIOTA,29526.1,"R$ 29.526,10"
TRIBUTOS,PCDOB,PARTIDO COMUNISTA DO BRASIL,91079.35,"R$ 91.079,35"
TRIBUTOS,PCO,PARTIDO DA CAUSA OPERÁRIA,3780.3,"R$ 3.780,30"
TRIBUTOS,PDT,PARTIDO DEMOCRÁTICO TRABALHISTA,409701.76,"R$ 409.701,76"
TRIBUTOS,PHS,PARTIDO HUMANISTA DA SOLIDARIEDADE,390170.23,"R$ 390.170,23"
TRIBUTOS,PL,PARTIDO LIBERAL,145203.12,"R$ 145.203,12"
TRIBUTOS,PMN,PARTIDO DA MOBILIZAÇÃO NACIONAL,27543.75,"R$ 27.543,75"
TRIBUTOS,PODE,PODEMOS,66945.17,"R$ 66.945,17"
TRIBUTOS,PP,PROGRESSISTAS,238082.16,"R$ 238.082,16"
TRIBUTOS,PPL,PARTIDO PÁTRIA LIVRE,7139.25,"R$ 7.139,25"
TRIBUTOS,PPS,PARTIDO POPULAR SOCIALISTA,184877.26,"R$ 184.877,26"
TRIBUTOS,PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL,58028.45,"R$ 58.028,45"
TRIBUTOS,PRP,PARTIDO REPUBLICANO PROGRESSISTA,14744.75,"R$ 14.744,75"
TRIBUTOS,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,136026.29,"R$ 136.026,29"
TRIBUTOS,PSB,PARTIDO SOCIALISTA BRASILEIRO,159311.01,"R$ 159.311,01"
TRIBUTOS,PSC,PARTIDO SOCIAL CRISTÃO,396073.55,"R$ 396.073,55"
TRIBUTOS,PSD,PARTIDO SOCIAL DEMOCRÁTICO,249664.37,"R$ 249.664,37"
TRIBUTOS,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,364198.64,"R$ 364.198,64"
TRIBUTOS,PSL,PARTIDO SOCIAL LIBERAL,38352.34,"R$ 38.352,34"
TRIBUTOS,PSOL,PARTIDO SOCIALISMO E LIBERDADE,108955.79,"R$ 108.955,79"
TRIBUTOS,PSTU,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,27729.68,"R$ 27.729,68"
TRIBUTOS,PT,PARTIDO DOS TRABALHADORES,884014.99,"R$ 884.014,99"
TRIBUTOS,PTB,PARTIDO TRABALHISTA BRASILEIRO,225574.08,"R$ 225.574,08"
TRIBUTOS,PTC,PARTIDO TRABALHISTA CRISTÃO,34014.45,"R$ 34.014,45"
TRIBUTOS,PV,PARTIDO VERDE,403749.47,"R$ 403.749,47"
TRIBUTOS,REDE,REDE SUSTENTABILIDADE,7481.53,"R$ 7.481,53"
TRIBUTOS,REPUBLICANOS,REPUBLICANOS,208487.07,"R$ 208.487,07"
TRIBUTOS,SDD,SOLIDARIEDADE,66006.63,"R$ 66.006,63"
